"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,6.899999920E-3,1.032999977E-1,-1.393000036E-1,1.735597607E-1
9.736400000E-3,6.719999760E-2,3.206999898E-1,6.619999558E-2,3.342854507E-1
1.966296300E-2,-2.190000005E-2,2.534999847E-1,1.973999888E-1,3.220382087E-1
2.958952500E-2,-3.150000051E-2,1.387999952E-1,3.303000033E-1,3.596606468E-1
3.951608800E-2,-1.445000023E-1,1.659999974E-2,4.668999910E-1,4.890310954E-1
4.944265000E-2,1.879999973E-2,-5.499999970E-2,4.391999841E-1,4.430294189E-1
5.936921300E-2,8.569999784E-2,-3.539999947E-2,4.354999959E-1,4.452616041E-1
6.929577500E-2,9.269999713E-2,2.419999987E-2,4.504999816E-1,4.605748179E-1
7.922077500E-2,-5.699999630E-3,1.726000011E-1,4.921999872E-1,5.216167920E-1
8.914733800E-2,-7.329999655E-2,2.719999850E-1,7.694000006E-1,8.193492797E-1
9.907390000E-2,-2.131000012E-1,2.745999992E-1,8.825999498E-1,9.485775886E-1
1.090004630E-1,-3.095999956E-1,2.198999971E-1,1.057699919E0,1.123804825E0
1.189270250E-1,-2.976999879E-1,1.669999957E-1,1.081699967E0,1.134279111E0
1.288535880E-1,-2.655999959E-1,6.589999795E-2,9.585999846E-1,9.968952292E-1
1.387785880E-1,-2.615999877E-1,6.289999932E-2,7.979999781E-1,8.421371198E-1
1.487051500E-1,-1.999999881E-1,-9.099999443E-3,5.644999743E-1,5.989516059E-1
1.586317130E-1,-5.460000038E-2,-2.300000004E-2,2.795999944E-1,2.858081820E-1
1.685582750E-1,-8.879999816E-2,0.000000000E0,1.569999941E-2,9.017721251E-2
1.784848380E-1,-1.899999916E-3,7.859999686E-2,-2.230999917E-1,2.365484639E-1
1.884114000E-1,1.525999904E-1,1.351999938E-1,-3.005000055E-1,3.631336513E-1
1.983364000E-1,2.509000003E-1,1.700000018E-1,-3.858999908E-1,4.906828035E-1
