"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.607729168E-2,1.860300431E-1,-1.014526999E-1,1.493682933E-1,2.592502927E-1
4.612429166E-2,1.950256920E-1,-1.608510554E-1,1.382591683E-1,2.881383004E-1
5.617129165E-2,2.331770200E-1,-1.770829260E-1,1.206111020E-1,3.166653174E-1
6.621829167E-2,2.589778590E-1,-1.431872016E-1,1.094122222E-1,3.155045809E-1
7.626529166E-2,2.403743577E-1,-1.013006723E-1,9.911352128E-2,2.790432729E-1
8.631229165E-2,2.091332692E-1,-6.772712946E-2,1.055437043E-1,2.438506959E-1
9.635929167E-2,1.636010009E-1,-8.224868953E-2,1.458471000E-1,2.340972256E-1
1.064062917E-1,1.058243707E-1,-8.241884351E-2,1.556014252E-1,2.054348235E-1
1.164532917E-1,6.746663600E-2,-3.553586841E-2,1.590688241E-1,1.764013484E-1
1.265002917E-1,4.567729751E-2,5.490535498E-3,1.748068973E-1,1.807595443E-1
1.365472917E-1,5.795292377E-2,4.921542943E-2,1.893088692E-1,2.040062446E-1
1.465942917E-1,9.982894639E-2,3.430444479E-2,1.939869341E-1,2.208473321E-1
1.566412917E-1,1.819972367E-1,-2.717610419E-2,1.945202002E-1,2.677678903E-1
1.666882917E-1,2.527347869E-1,-1.030209231E-1,1.956718093E-1,3.358208452E-1
1.767352917E-1,2.817931098E-1,-1.305659866E-1,1.936796629E-1,3.660145426E-1
1.867822917E-1,2.964026887E-1,-9.210007846E-2,1.680995563E-1,3.529793750E-1
1.968292917E-1,2.751807860E-1,-3.704912782E-2,1.267571104E-1,3.052285502E-1
2.068762917E-1,2.097387484E-1,-2.293570340E-2,9.456818819E-2,2.312131728E-1
2.169232916E-1,1.532099140E-1,-3.774553120E-2,4.746652722E-2,1.647758298E-1
2.269702917E-1,1.207873955E-1,-8.236212552E-2,1.717327237E-2,1.472006655E-1
2.370172917E-1,1.191572101E-1,-9.317362726E-2,2.870719761E-2,1.539606077E-1
2.470642917E-1,1.235736121E-1,-8.261823356E-2,3.689388424E-2,1.531579864E-1
2.571112917E-1,1.045914670E-1,-5.057022929E-2,7.021219611E-2,1.357441547E-1
2.671582917E-1,8.565586209E-2,-2.409403682E-2,1.119455284E-1,1.430008764E-1
2.772052917E-1,9.249622732E-2,-1.217331827E-2,1.448676914E-1,1.723089950E-1
2.872522917E-1,1.212446478E-1,8.908817768E-3,1.896579480E-1,2.252770936E-1
2.972992917E-1,1.497366679E-1,1.102317095E-2,2.263691068E-1,2.716349619E-1
3.073462917E-1,1.727498469E-1,-2.741291642E-2,2.592491698E-1,3.127364859E-1
3.173932917E-1,1.971809757E-1,-9.016114175E-2,2.594251710E-1,3.380987844E-1
3.274402917E-1,2.182444006E-1,-1.196568364E-1,2.499649608E-1,3.527475847E-1
3.374872917E-1,2.235747224E-1,-6.056545973E-2,2.231981617E-1,3.216694745E-1
3.475342916E-1,1.987383816E-1,-1.199380875E-2,1.818636096E-1,2.696575017E-1
3.575812917E-1,1.784762993E-1,1.638740659E-2,1.445805931E-1,2.302734991E-1
3.676282917E-1,1.666497391E-1,2.287957013E-2,1.216554147E-1,2.075949186E-1
3.776752917E-1,1.599108231E-1,-1.854152083E-2,8.610668242E-2,1.825640164E-1
3.877222917E-1,1.228745592E-1,-6.071514845E-2,8.251415312E-2,1.599783486E-1
3.977692917E-1,1.238381894E-1,-9.289179146E-2,8.981586367E-2,1.789739407E-1
4.078162917E-1,1.258382204E-1,-9.195214391E-2,1.002388179E-1,1.853058960E-1
4.178632917E-1,1.273386160E-1,-7.297032773E-2,1.123133183E-1,1.848082068E-1
4.279102917E-1,1.222667502E-1,-6.996485889E-2,1.523033032E-1,2.074621311E-1
4.379572917E-1,1.381746760E-1,-6.344813704E-2,1.965079612E-1,2.484618401E-1
4.480042917E-1,1.888358478E-1,-8.981907964E-2,1.957513314E-1,2.864350332E-1
4.580512917E-1,2.079664573E-1,-1.462628371E-1,1.698806182E-1,3.057814404E-1
4.680982917E-1,1.929136777E-1,-1.569533014E-1,9.496170580E-2,2.662099762E-1
4.781452917E-1,1.551359868E-1,-1.242042160E-1,4.837401509E-2,2.045333885E-1
4.881922917E-1,1.041111548E-1,-7.058700264E-2,3.287977070E-2,1.300105258E-1
4.982392917E-1,4.282763869E-2,-1.674701035E-2,1.548868954E-2,4.852389612E-2
5.082862917E-1,2.079386830E-2,1.074075043E-2,5.051935852E-2,5.567723290E-2
5.183332917E-1,3.935205370E-2,1.320652127E-2,1.400899315E-1,1.461101818E-1
5.283802917E-1,7.765190095E-2,3.030904233E-2,1.981761718E-1,2.149936065E-1
5.384272917E-1,1.148557059E-1,2.697671413E-2,2.492773283E-1,2.757875317E-1
5.484742917E-1,1.415730777E-1,1.660258412E-2,2.929022348E-1,3.257457617E-1
5.585212917E-1,1.509023286E-1,2.313216984E-2,3.088069537E-1,3.444827205E-1
5.685682917E-1,1.451898913E-1,-3.765022159E-3,2.824997458E-1,3.176482115E-1
5.786152917E-1,1.288445663E-1,-3.614163995E-2,2.592830837E-1,2.917787825E-1
5.886622917E-1,1.408103267E-1,-3.764320493E-2,2.280188987E-1,2.706236818E-1
5.987092917E-1,1.532692815E-1,-2.141893566E-2,1.798770180E-1,2.372888220E-1
6.087562917E-1,1.661211691E-1,4.187775850E-3,1.290003946E-1,2.103684437E-1
6.188032917E-1,1.690134943E-1,1.230195701E-2,1.238992837E-1,2.099236335E-1
6.288502917E-1,1.545755312E-1,-2.462613344E-2,1.139598942E-1,1.936153371E-1
6.388972917E-1,1.297181586E-1,-7.132492125E-2,1.040275213E-1,1.809302912E-1
6.489432917E-1,9.126538843E-2,-1.094224548E-1,1.116677856E-1,1.810313208E-1
6.589902917E-1,6.440415680E-2,-1.205298257E-1,1.113017499E-1,1.762481598E-1
6.690376667E-1,4.647807369E-2,-1.180301410E-1,1.204541042E-1,1.749300339E-1
6.790846667E-1,3.949531049E-2,-1.294409823E-1,1.478538644E-1,2.004385509E-1
6.891316667E-1,5.090147406E-2,-1.155398118E-1,2.134374046E-1,2.479837371E-1
6.991786667E-1,1.438064218E-2,-1.315921730E-1,2.710201997E-1,3.016210395E-1
7.092256667E-1,1.913802819E-3,-2.858697885E-1,3.273917440E-1,4.346384160E-1
7.192726667E-1,6.167323301E-2,-3.436882263E-1,3.997791043E-1,5.307998840E-1
7.293196667E-1,1.332606851E-1,-3.107508606E-1,4.233615097E-1,5.418112914E-1
7.393666667E-1,2.268070632E-1,-2.488791329E-1,3.534595084E-1,4.881760858E-1
7.494136667E-1,2.458368266E-1,-1.852731210E-1,1.944792697E-1,3.641209428E-1
7.594606667E-1,2.374750158E-1,-1.232394254E-1,4.733905792E-3,2.675906369E-1
7.695076667E-1,2.076317042E-1,-8.096814930E-2,-1.817279541E-1,2.875618457E-1
7.795546667E-1,1.647108024E-1,-6.431235552E-2,-3.083190036E-1,3.554241628E-1
7.896016666E-1,1.290565279E-1,-6.062568605E-2,-3.015376952E-1,3.335506601E-1
7.996486667E-1,1.103679496E-1,-4.171462119E-2,-1.805257666E-1,2.156635025E-1
8.096956667E-1,7.005256712E-2,-5.423467934E-2,2.917643666E-2,9.327393559E-2
8.197426667E-1,2.488370786E-2,-6.717105925E-2,2.658158854E-1,2.752984472E-1
8.297896667E-1,1.039927304E-3,-6.762012541E-2,4.641496396E-1,4.690505844E-1
8.398366667E-1,-4.641255747E-2,-4.192336679E-2,5.788223094E-1,5.821915149E-1
